,Make & Model,Price,Depreciation,Reg Date,Mileage,Vechical Type
11231,BMW 3 Series 318i Sunroof (COE till 09/2030),"$63,588.00","$6,710 /yr",22-Oct-2010,"135,000 km",Luxury
11233,Audi A5 Cabriolet 2.0A TFSI,"$178,450.00","$20,160 /yr",21-Jul-2018,"29,000 km",Sports
11234,Mercedes-Benz CLS-Class CLS53 Mild Hybrid AMG Line 4MATIC Plus,"$358,888.00",,N.A.,"21,000 km",Luxury
11236,Volkswagen Scirocco GT 2.0A TSI Sunroof (COE till 05/2030),"$70,888.00","$7,760 /yr",31-May-2010,"148,000 km",Sports
11239,Audi Q5 2.0A TFSI Quattro (New 10-yr COE),"$107,800.00","$10,770 /yr",17-Sep-2012,"117,000 km",SUV
11240,Hyundai Elantra 1.6A GLS S,"$60,700.00","$8,380 /yr",09-Oct-2017,"71,000 km",Sedan
11244,Mitsubishi Lancer EX 1.6A,"$48,800.00","$9,720 /yr",15-Sep-2015,"90,000 km",Sedan
11252,Porsche Cayenne 3.6A Tip,"$117,777.00","$42,380 /yr",14-Feb-2013,"92,000 km",SUV
11256,Kia Cerato K3 1.6A SX,"$60,800.00","$9,100 /yr",05-Jan-2017,"86,000 km",Sedan
11257,Suzuki Grand Vitara 2.0A (COE till 03/2029),"$55,900.00","$7,040 /yr",19-Mar-2009,"142,000 km",SUV
11259,Nissan Urvan 3.0M (COE till 04/2029),"$48,600.00","$6,030 /yr",30-Mar-2010,"98,632 km",Van
11261,Mercedes-Benz S-Class S400L,"$186,988.00","$28,340 /yr",17-Apr-2015,"92,457 km",Luxury
11264,Suzuki Swift 1.4A Special Edition,"$47,000.00","$8,440 /yr",25-Feb-2016,"87,000 km",Hatchback
11265,Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,"$129,800.00","$13,330 /yr",22-Aug-2019,"21,000 km",Stationwagon
11266,Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,"$129,800.00","$13,330 /yr",22-Aug-2019,"24,000 km",Stationwagon
11267,BMW 1 Series 116i,"$35,500.00","$13,010 /yr",28-Dec-2012,"96,000 km",Hatchback
11268,BMW M Series M3 Coupe (New 10-yr COE),"$220,800.00","$22,070 /yr",27-Mar-2012,"135,000 km",Sports
11269,Mercedes-Benz E-Class E300 Coupe AMG Line Premium,"$269,000.00",,N.A.,78 km,Sports
11270,Volkswagen Tiguan 1.4A TSI Comfortline EQP,"$113,800.00","$12,170 /yr",27-Feb-2019,"16,000 km",SUV
11273,BMW 3 Series 318Ci Coupe (COE till 03/2029),"$68,000.00","$8,530 /yr",15-May-2000,"177,000 km",Sports
11277,Toyota Estima 2.4A Aeras 8-Seater (COE till 05/2027),"$58,800.00","$9,610 /yr",25-May-2007,"175,000 km",MPV
11286,Mercedes-Benz GL-Class GL350 BlueTEC CDI AMG Sport,"$183,800.00","$27,990 /yr",29-Sep-2015,"70,036 km",SUV
11287,Mercedes-Benz A-Class A180 Progressive,"$122,800.00","$13,190 /yr",18-Jun-2019,"21,000 km",Hatchback
11290,Volkswagen Beetle 1.2A TSI Sunroof,"$85,500.00","$10,200 /yr",31-Aug-2018,"33,000 km",Hatchback
11293,Maxus G10 2.0A,"$63,988.00","$6,430 /yr",24-Mar-2021,50 km,Van
11301,Lexus RX Turbo RX200t Luxury Sunroof,"$136,800.00","$18,590 /yr",01-Sep-2016,"95,000 km",SUV
11303,MINI John Cooper Works 2.0A,"$101,800.00","$18,770 /yr",30-Oct-2015,"40,500 km",Sports
11305,MINI Cooper S Countryman 1.6A,"$46,800.00","$16,730 /yr",27-Feb-2013,"125,000 km",Sports
11307,Porsche 911 Turbo Coupe PDK,"$555,000.00","$76,080 /yr",25-Jul-2016,"17,888 km",Sports
11308,Audi A3 Sedan 1.4A TFSI Attraction,"$68,700.00","$11,540 /yr",28-Jun-2016,"81,000 km",Luxury
11310,Mercedes-Benz E-Class E250 CGI Avantgarde (COE till 05/2030),"$84,000.00","$9,240 /yr",13-May-2010,"152,000 km",Luxury
11311,Audi R8 4.2A FSI Quattro R-tronic (COE till 06/2028),"$178,000.00","$24,660 /yr",30-Jun-2008,"58,000 km",Sports
11320,Lexus RX300 Luxury,"$180,000.00","$20,580 /yr",29-Mar-2018,"39,000 km",SUV
11321,Mazda CX-5 2.0A,"$63,800.00","$11,420 /yr",12-Nov-2015,"100,000 km",SUV
11322,Toyota Previa 2.4A Aeras Moonroof,"$103,800.00","$14,050 /yr",27-Mar-2017,"74,000 km",MPV
11325,Mercedes-Benz GLE-Class GLE43 Coupe AMG 4MATIC Night Edtion,"$289,800.00","$27,650 /yr",17-Jun-2019,"11,635 km",SUV
11327,BMW 5 Series 520i,"$84,800.00","$16,130 /yr",10-Apr-2015,"101,000 km",Luxury
11328,Mercedes-Benz C-Class C180 Coupe,"$52,800.00","$17,220 /yr",21-May-2013,"130,000 km",Sports
11329,Mazda 6 2.0A,"$56,800.00","$10,520 /yr",15-Oct-2015,"100,000 km",Luxury
11330,Toyota Estima 2.4A Aeras Moonroof,"$67,800.00","$13,990 /yr",07-Nov-2014,"69,000 km",MPV
11333,Honda Freed 1.5A G,"$109,800.00","$9,820 /yr",13-Jan-2021,"1,500 km",MPV
11334,Lexus RX350 MR (COE till 03/2027),"$44,800.00","$7,600 /yr",05-Mar-2007,"175,000 km",SUV
11339,Nissan Sylphy 1.5A Premium (New 5-yr COE),"$35,800.00","$7,160 /yr",26-May-2011,"118,000 km",Sedan
11340,Toyota Corolla Altis 1.6A (COE till 11/2025),"$34,000.00","$7,330 /yr",01-Dec-2010,"146,000 km",Sedan
11345,Mercedes-Benz C-Class C200 CGI (New 10-yr COE),"$79,000.00","$7,900 /yr",29-Apr-2011,"212,000 km",Luxury
11346,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$128,800.00","$11,940 /yr",21-Dec-2020,"4,280 km",SUV
11348,BMW ALPINA D5 Bi-Turbo,"$398,800.00","$38,240 /yr",12-Sep-2019,"17,828 km",Sports
11350,Honda Jazz 1.3A (OPC),"$62,800.00","$6,900 /yr",20-Nov-2019,"18,645 km",Hatchback
11356,Toyota Wish 1.8A (COE till 06/2026),"$37,500.00","$7,220 /yr",23-Jun-2006,"146,336 km",MPV
11363,Ferrari F430 F1 (COE till 09/2028),"$278,800.00","$37,300 /yr",03-Nov-2009,"42,000 km",Sports
11366,Citroen C4 1.2A PureTech,"$52,800.00","$8,530 /yr",08-Dec-2016,"37,000 km",SUV
11367,Toyota Estima 2.4A Aeras Premium Moonroof,"$64,800.00","$14,210 /yr",25-Jul-2014,"135,000 km",MPV
11372,Toyota Corolla Altis 1.6A Elegance,"$58,800.00","$11,000 /yr",25-Sep-2015,"72,000 km",Sedan
11373,Jaguar E-PACE 2.0A HSE R-Dynamic,"$145,800.00","$16,730 /yr",29-Mar-2018,"34,200 km",SUV
11374,Skoda Superb Laurin & Klement 2.0A TSI,"$132,988.00","$12,240 /yr",17-Aug-2020,"20,500 km",Luxury
11377,Honda Shuttle Hybrid 1.5A,"$73,888.00","$9,990 /yr",04-Jun-2018,"34,335 km",Stationwagon
11378,Honda Fit 1.3A G F-Package,"$73,000.00","$8,020 /yr",10-Jan-2020,"9,080 km",Hatchback
11379,Rolls-Royce Dawn,"$1,288,000.00","$116,620 /yr",22-Mar-2019,"14,000 km",Sports
11381,Audi Q7 3.0A TFSI Quattro S-Line,"$91,800.00","$20,740 /yr",28-Jun-2013,"132,500 km",SUV
11383,Honda Odyssey 2.4A EXV-S Sunroof,"$86,800.00","$13,780 /yr",11-May-2016,"67,600 km",MPV
11388,Maserati Levante Diesel 3.0A,"$250,800.00","$29,470 /yr",02-Jun-2017,"25,800 km",SUV
11390,Honda Jazz 1.5A,"$60,800.00","$9,610 /yr",19-Dec-2016,"54,470 km",Hatchback
11391,Mercedes-Benz C-Class C180 Avantgarde,"$74,800.00","$17,940 /yr",01-Sep-2014,"119,688 km",Luxury
11395,Toyota Vios 1.5A E,"$58,800.00","$8,690 /yr",11-Aug-2017,"48,000 km",Sedan
11399,Nissan Qashqai 1.2A DIG-T,"$68,800.00","$9,940 /yr",07-Jul-2017,"63,381 km",SUV
11403,Toyota Dyna 150 3.0M,"$77,800.00","$9,180 /yr",01-Oct-2019,"44,000 km",Truck
11410,Honda Vezel 1.5A X Honda Sensing,"$79,888.00","$9,500 /yr",29-Dec-2018,"30,800 km",SUV
11414,Mercedes-Benz GLA-Class GLA200 AMG Line Executive,"$162,000.00","$14,340 /yr",12-Mar-2021,888 km,SUV
11417,Infiniti Q50 2.0T Luxe,"$120,000.00","$12,630 /yr",28-May-2019,"25,000 km",Luxury
11418,Ferrari GTC4Lusso T,"$908,800.00","$77,300 /yr",11-Nov-2019,"4,500 km",Sports
11422,Opel Adam 1.4A Easytronic Swingtop,"$52,800.00","$7,670 /yr",29-Jul-2017,"62,000 km",Hatchback
11427,Toyota Allion 1.5A (COE till 10/2024),"$25,000.00","$7,030 /yr",12-Nov-2009,"330,000 km",Sedan
11428,Toyota Wish 1.8A X,"$70,300.00","$10,270 /yr",28-Feb-2017,"61,000 km",MPV
11429,Mercedes-Benz C-Class C200 Mild Hybrid AMG Line Premium Plus,"$188,988.00","$15,690 /yr",05-Mar-2021,20 km,Luxury
11437,Honda Fit 1.3A G F-Package,"$69,800.00","$7,650 /yr",26-Dec-2019,"29,000 km",Hatchback
11438,BMW 5 Series 520i,"$189,800.00","$19,330 /yr",30-May-2019,"17,000 km",Luxury
11439,Mercedes-Benz SLK-Class SLK200K AMG (New 10-yr COE),"$126,000.00","$12,590 /yr",13-Sep-2012,"88,000 km",Sports
11444,Volkswagen Scirocco 1.4A TSI,"$29,998.00","$13,410 /yr",24-Jul-2012,"110,591 km",Sports
11448,BMW 6 Series 640i Cabriolet (New 10-yr COE),"$125,800.00","$12,570 /yr",15-Jun-2011,"93,000 km",Sports
11456,Mercedes-Benz B-Class B180 Style,"$130,800.00","$13,750 /yr",26-Jul-2019,"10,931 km",Hatchback
11462,Citroen C4 Picasso Diesel 1.6A e-HDi,"$40,988.00","$8,990 /yr",23-Jun-2015,"94,000 km",MPV
11468,Toyota Corolla Altis 1.6A (COE till 02/2025),"$26,900.00","$6,920 /yr",02-Mar-2010,"126,000 km",Sedan
11469,Opel Combo 1.6A,"$48,000.00","$6,790 /yr",08-May-2018,"45,000 km",Van
11474,Toyota Wish 1.8A Elegance,"$70,000.00","$10,430 /yr",12-Jan-2017,"57,000 km",MPV
11475,Mercedes-Benz C-Class C180 Coupe (New 10-yr COE),"$79,800.00","$7,980 /yr",04-Oct-2011,"153,000 km",Sports
11476,Toyota Alphard 3.0A Moonroof (COE till 06/2027),"$46,000.00","$7,480 /yr",07-Jun-2007,"113,000 km",MPV
11479,Honda Odyssey 2.4A EXV-S Sunroof,"$103,800.00","$13,330 /yr",26-Sep-2017,"50,772 km",MPV
11480,Mercedes-Benz E-Class E250,"$87,800.00","$15,840 /yr",15-Jan-2015,"137,800 km",Luxury
11481,Mercedes-Benz CLA-Class CLA180 Urban,"$93,800.00","$13,650 /yr",23-Feb-2017,"64,000 km",Luxury
11482,Lamborghini Aventador LP750-4 Superveloce,"$1,150,900.00","$161,250 /yr",02-Nov-2015,"10,900 km",Sports
11483,McLaren 12C,"$499,900.00","$96,910 /yr",31-Dec-2013,"18,800 km",Sports
11484,McLaren 12C Spider,"$439,900.00","$108,670 /yr",27-Dec-2013,"42,500 km",Sports
11485,Ferrari California 4.3A,"$389,900.00","$119,270 /yr",02-Mar-2013,"16,700 km",Sports
11486,Chevrolet Spark 0.8A (COE till 12/2023),"$13,000.00","$4,850 /yr",18-Dec-2008,"118,000 km",Hatchback
11489,Mercedes-Benz Vito 116 CDI Tourer,"$81,888.00","$12,000 /yr",07-Feb-2018,"175,000 km",Bus
11497,Mitsubishi Outlander 2.4A,"$80,800.00","$10,860 /yr",19-Oct-2017,"49,990 km",SUV
11498,Volkswagen Passat 1.8A TSI Sunroof,"$70,800.00","$11,540 /yr",26-Jan-2016,"85,000 km",Luxury
11504,BMW 7 Series 730Li Sunroof,"$52,000.00","$18,530 /yr",24-Feb-2012,"140,000 km",Luxury
11505,Volkswagen Golf GTI 3DR Sunroof (New 10-yr COE),"$98,888.00","$9,880 /yr",24-Aug-2011,"137,000 km",Sports
11507,Austin Healey 3000 MK II (COE till 08/2029),"$200,000.00","$24,040 /yr",05-Aug-2019,"3,000 km",Others
11513,Maserati GranCabrio Sport 4.7A,"$175,000.00","$86,940 /yr",01-Aug-2012,"65,000 km",Sports
11514,Porsche 911 Turbo S Coupe PDK,"$669,900.00","$72,350 /yr",28-Jul-2017,"14,900 km",Sports
11515,McLaren 720S,"$838,900.00","$91,610 /yr",12-May-2018,"3,200 km",Sports
11516,BMW 1 Series 116i,"$53,800.00","$13,090 /yr",28-Aug-2014,"80,000 km",Hatchback
11518,Kia K2500 Single-Cab,"$60,800.00","$7,570 /yr",24-Apr-2019,"31,700 km",Truck
11519,Volkswagen Touran 1.4A TSI,"$33,000.00","$14,250 /yr",02-Jan-2013,"85,000 km",MPV
11520,Honda Civic 1.6A VTi (COE till 08/2023),"$24,000.00","$10,130 /yr",26-Aug-2008,"165,000 km",Sedan
11521,Kia K2500 Single-Cab,"$60,800.00","$7,570 /yr",24-Apr-2019,"57,000 km",Truck
11522,Nissan Qashqai 1.2A DIG-T,"$55,800.00","$9,830 /yr",31-Mar-2016,"99,120 km",SUV
11524,BMW 5 Series 530i Luxury,"$215,800.00","$20,620 /yr",27-Nov-2019,"28,000 km",Luxury
11526,Mazda 3 Mild Hybrid 1.5A Classic,"$84,800.00","$8,880 /yr",30-Mar-2020,"6,500 km",Sedan
11528,Honda Jazz 1.3A L (New 10-yr COE),"$58,777.00","$5,870 /yr",11-May-2011,"102,145 km",Hatchback
11529,Mercedes-Benz GLA-Class GLA200 AMG Line,"$120,800.00","$13,980 /yr",14-Jun-2018,"30,317 km",SUV
11530,Mitsubishi Lancer 1.5A GLX (COE till 02/2024),"$21,000.00","$7,280 /yr",15-Jul-2009,"169,000 km",Sedan
11533,Mercedes-Benz C-Class C200 CGI Avantgarde (COE till 12/2030),"$73,800.00","$7,590 /yr",30-Dec-2010,"112,000 km",Luxury
11534,Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,"$95,888.00","$13,730 /yr",24-Feb-2017,"51,000 km",Stationwagon
11536,Land Rover Range Rover Velar 2.0A Si4 R-Dynamic,"$288,888.00","$24,940 /yr",04-Jan-2021,"1,000 km",SUV
11537,Mercedes-Benz C-Class C63 S Cabriolet AMG Premium Plus,"$535,888.00",,N.A.,12 km,Sports
11540,Honda Vezel 1.5A X,"$78,500.00","$9,000 /yr",02-Apr-2019,"21,000 km",SUV
11542,Peugeot 5008 Diesel 1.6A BlueHDi EAT6,"$62,800.00","$10,430 /yr",01-Aug-2016,"63,226 km",MPV
11543,Mazda 6 2.0A Executive,"$79,800.00","$10,320 /yr",07-Nov-2017,"54,000 km",Luxury
11545,Toyota Vios 1.5A E (COE till 04/2029),"$47,500.00","$5,900 /yr",10-Sep-2009,"129,770 km",Sedan
11546,Mercedes-Benz C-Class C200 Coupe Mild Hybrid AMG Line Premium Plus,"$226,988.00","$19,630 /yr",11-Nov-2020,652 km,Sports
11547,Subaru Legacy 2.0R (COE till 05/2027),"$41,333.00","$6,740 /yr",06-Jun-2007,"126,648 km",Luxury
11548,Honda Vezel 1.5A X,"$67,800.00","$9,930 /yr",14-Jun-2017,"66,977 km",SUV
11550,Toyota Rav4 2.0A Premium,"$127,800.00","$12,010 /yr",24-Jul-2020,"9,000 km",SUV
11551,BMW 6 Series 640i Gran Coupe M-Sport,"$125,800.00","$30,380 /yr",07-Jun-2013,"103,600 km",Luxury
11552,Honda Airwave 1.5A M (COE till 04/2029),"$46,800.00","$5,810 /yr",11-May-2009,"190,000 km",Stationwagon
11553,Lexus RX270 (New 10-yr COE),"$102,888.00","$10,280 /yr",12-Jun-2012,"85,000 km",SUV
11554,Ferrari 458 Italia,"$600,000.00","$199,100 /yr",30-May-2013,"19,500 km",Sports
11556,Toyota Vios 1.5A E (COE till 03/2029),"$43,888.00","$5,500 /yr",20-Jul-2009,"140,000 km",Sedan
11557,BMW 6 Series 630Ci (COE till 09/2026),"$54,000.00","$9,910 /yr",22-Sep-2006,"135,000 km",Sports
11561,Toyota Hiace 3.0M,"$78,388.00","$8,390 /yr",13-Aug-2020,3 km,Van
11564,Aston Martin Vanquish 6.0A,"$620,000.00","$65,070 /yr",25-Sep-2017,"13,500 km",Sports
11566,Volkswagen Golf 1.4A TSI (OPC),"$28,800.00","$21,510 /yr",07-Feb-2012,"86,000 km",Hatchback
11568,Toyota Harrier 2.0A Premium Panoramic,"$68,800.00","$13,800 /yr",19-Jun-2015,"79,000 km",SUV
11571,Porsche Cayenne 3.6A Tip (New 10-yr COE),"$139,800.00","$13,970 /yr",20-Jun-2011,"160,000 km",SUV
11573,Hyundai Accent 1.4A (OPC),"$47,800.00","$6,070 /yr",23-Jun-2018,"16,000 km",Sedan
11575,Kia Cerato Forte Koup 2.0M SX (COE till 06/2025),"$32,800.00","$7,770 /yr",28-Jul-2010,"155,371 km",Sports
11576,Mitsubishi Lancer EX 2.0A GT (COE till 04/2025),"$38,800.00","$9,640 /yr",21-Apr-2010,"105,000 km",Sedan
11586,Honda Civic Type R 2.0M (COE till 04/2029),"$99,000.00","$12,290 /yr",25-Mar-2010,"175,000 km",Sports
11588,Porsche Panamera 3.6A PDK (COE till 06/2030),"$135,000.00","$14,640 /yr",02-Jul-2010,"132,000 km",Sports
11589,Audi A3 Sedan 1.4A TFSI Ambiente,"$56,800.00","$11,870 /yr",27-May-2015,"87,000 km",Luxury
11596,Toyota Corolla Altis 1.6A Elegance,"$48,999.00","$11,110 /yr",20-Jan-2015,"117,000 km",Sedan
11598,BMW X3 sDrive20i,"$200,000.00","$18,880 /yr",24-Jul-2020,"5,000 km",SUV
11600,Infiniti Q50 2.0T Luxe,"$119,500.00","$11,840 /yr",28-Nov-2019,"17,500 km",Luxury
11605,Nissan Qashqai 1.2A DIG-T,"$62,800.00","$9,370 /yr",31-Mar-2017,"39,000 km",SUV
11606,Kia Cerato K3 1.6A,"$62,800.00","$8,200 /yr",28-Mar-2018,"29,000 km",Sedan
11608,Mazda 3 2.0A Sport,"$63,800.00","$9,330 /yr",16-Jan-2017,"86,000 km",Sedan
11610,Mercedes-Benz A-Class A180 SE,"$111,800.00","$12,000 /yr",22-May-2019,"30,172 km",Hatchback
11611,Toyota Harrier 2.0A Premium Panoramic,"$74,800.00","$12,790 /yr",28-Dec-2015,"58,000 km",SUV
11614,Mitsubishi Fuso Canter FEB50,"$63,800.00","$9,540 /yr",19-Dec-2017,"84,538 km",Truck
11618,Jaguar XE 2.0A R-Dynamic SE,"$163,800.00","$15,380 /yr",20-Jul-2020,"12,950 km",Luxury
11621,Mercedes-Benz C-Class C180 Avantgarde,"$115,800.00","$15,930 /yr",27-Apr-2017,"38,015 km",Luxury
11622,Kia Cerato K3 1.6A SX,"$50,800.00","$8,970 /yr",29-Dec-2015,"25,000 km",Sedan
11623,Hyundai Avante 1.6A GLS S,"$71,888.00","$8,120 /yr",25-Mar-2019,"27,000 km",Sedan
11625,Toyota Ractis 1.3A (COE till 08/2023),"$18,800.00","$7,970 /yr",22-Aug-2008,"151,710 km",Hatchback
11636,BMW 3 Series 328i,"$53,000.00","$20,840 /yr",24-Oct-2012,"140,000 km",Luxury
11639,Mazda 3 1.5A Sunroof,"$60,999.00","$8,830 /yr",01-Aug-2017,"52,697 km",Sedan
11642,Nissan Qashqai 2.0A Premium Moonroof (COE till 09/2028),"$48,888.00","$6,590 /yr",11-Sep-2008,"227,491 km",SUV
11643,Volkswagen Scirocco 1.4A TSI,"$38,800.00","$13,040 /yr",08-May-2013,"120,000 km",Sports
11644,Hummer H3 3.7A (COE till 05/2028),"$91,888.00","$12,870 /yr",11-Feb-2009,"76,000 km",SUV
11645,Honda Vezel 1.5A X,"$54,800.00","$10,180 /yr",17-Mar-2016,"68,000 km",SUV
11646,Honda Jazz 1.5A (COE till 12/2024),"$30,800.00","$8,330 /yr",23-Dec-2009,"92,000 km",Hatchback
11647,BMW 5 Series 520i,"$61,800.00","$19,030 /yr",29-Apr-2013,"92,000 km",Luxury
11648,Honda Fit 1.3A GF,"$75,800.00","$8,150 /yr",26-Mar-2020,"5,000 km",Hatchback
11652,Lexus LS500 Luxury MR,"$460,000.00","$39,250 /yr",17-Jul-2020,"16,800 km",Luxury
11654,Mercedes-Benz SLK-Class SLK200,"$102,888.00","$24,630 /yr",26-Dec-2013,"82,000 km",Sports
11656,Toyota Alphard 2.5A SA Moonroof,"$100,888.00","$17,290 /yr",23-Dec-2015,"108,000 km",MPV
11658,Mercedes-Benz G-Class G63 AMG 4MATIC,"$580,888.00","$53,170 /yr",18-Nov-2019,"15,000 km",SUV
11660,Nissan NV350 2.5A,"$41,188.00","$8,080 /yr",17-May-2016,"450,000 km",Van
11662,Volvo XC40 T5 R-Design,"$149,800.00","$16,440 /yr",09-May-2019,"26,000 km",SUV
11664,Kia Cerato K3 1.6A EX (OPC),"$42,800.00","$7,000 /yr",23-May-2016,"22,000 km",Sedan
11668,Toyota Wish 1.8A Elegance,"$52,500.00","$11,170 /yr",03-Feb-2015,"69,716 km",MPV
11669,Mercedes-Benz C-Class C180K Avantgarde (New 10-yr COE),"$76,800.00","$7,680 /yr",17-Nov-2011,"112,000 km",Luxury
11674,Mercedes-Benz E-Class E200 CGI Cabriolet (COE till 09/2030),"$96,888.00","$10,230 /yr",20-Dec-2010,"113,000 km",Sports
11677,Land Rover Range Rover Evoque 2.0A 5DR,"$122,800.00","$17,350 /yr",31-Aug-2016,"32,000 km",SUV
11681,Toyota Hiace 3.0A DX,"$66,800.00","$9,650 /yr",14-Mar-2018,"45,000 km",Van
11686,Toyota Vios 1.5A E (COE till 03/2029),"$47,800.00","$6,000 /yr",24-Apr-2009,"126,000 km",Sedan
11688,Toyota C-HR Hybrid 1.8A S,"$71,888.00","$10,910 /yr",21-Aug-2017,"38,000 km",SUV
11694,Honda Civic 1.6A VTi,"$92,888.00","$9,180 /yr",06-Apr-2020,"10,000 km",Sedan
11699,Nissan Qashqai 1.2A DIG-T,"$62,000.00","$9,060 /yr",16-May-2017,"47,800 km",SUV
11700,MINI Cooper Cabriolet 1.5A,"$113,000.00","$13,010 /yr",18-Jul-2018,"24,000 km",Sports
11701,Kia Cerato Forte Koup 1.6A SX Sunroof (COE till 10/2024),"$28,000.00","$7,870 /yr",05-May-2010,"171,451 km",Sports
11705,Toyota Estima 2.4A Aeras G (New 10-yr COE),"$85,800.00","$8,580 /yr",01-Jul-2011,"90,441 km",MPV
11707,Audi S8 4.0A TFSI Quattro,"$135,000.00","$43,480 /yr",30-Jan-2013,"105,000 km",Luxury
11708,Mercedes-Benz B-Class B180 Style,"$93,800.00","$11,870 /yr",31-Jan-2018,"40,688 km",Hatchback
11709,BMW Z4 sDrive23i (COE till 02/2031),"$88,000.00","$8,930 /yr",18-Feb-2011,"121,000 km",Sports
11712,Mazda 3 1.5A Deluxe,"$46,555.00","$9,470 /yr",28-Jul-2015,"93,803 km",Sedan
11716,Honda Vezel 1.5A X,"$49,800.00","$9,310 /yr",19-Feb-2016,"100,000 km",SUV
11717,Jaguar XF 3.0A Luxury (COE till 04/2028),"$60,800.00","$8,620 /yr",27-Aug-2008,"160,000 km",Luxury
11719,BMW 3 Series 335i Sunroof (COE till 08/2030),"$84,000.00","$8,940 /yr",17-Sep-2010,"123,000 km",Luxury
11726,Hyundai Avante 1.6A GLS Elite,"$83,800.00","$8,590 /yr",24-Dec-2019,"20,000 km",Sedan
11728,Toyota Wish 1.8A X,"$81,800.00","$16,180 /yr",22-Oct-2015,"82,852 km",MPV
11730,Mercedes-Benz S-Class S450L,"$388,800.00","$36,310 /yr",02-Dec-2019,"19,000 km",Luxury
11731,Audi R8 4.2A FSI Quattro R-tronic (COE till 10/2027),"$165,800.00","$25,290 /yr",30-Apr-2008,"95,000 km",Sports
11734,Audi A5 Cabriolet 2.0A TFSI S-tronic Design,"$179,888.00","$20,650 /yr",13-Jun-2018,"27,788 km",Sports
11738,Mercedes-Benz C-Class C180 Coupe,"$135,800.00","$17,630 /yr",24-Aug-2017,"58,703 km",Sports
11742,BMW M Series M3 Coupe Competition Package (New 10-yr COE),"$131,800.00","$13,170 /yr",11-Nov-2011,"138,000 km",Sports
11743,Suzuki Swift 1.4A GLX (New 5-yr COE),"$36,800.00","$7,360 /yr",16-Jun-2011,"120,000 km",Hatchback
11744,Toyota Regius Ace 2.8A,"$90,000.00","$9,560 /yr",10-Sep-2020,"7,158 km",Van
11749,Volvo S60 T5,"$52,888.00","$12,100 /yr",10-Oct-2014,"148,000 km",Luxury
11752,Mercedes-Benz B-Class B180 Style,"$64,800.00","$12,780 /yr",07-Jul-2015,"86,255 km",Hatchback
11755,Volkswagen Passat 1.8A TSI Highline,"$115,800.00","$11,230 /yr",29-Nov-2019,"8,000 km",Luxury
11756,Hyundai Tucson 1.6A GLS DCT Turbo,"$85,800.00","$11,010 /yr",03-May-2018,"50,000 km",SUV
11757,Volkswagen Golf 1.4A TSI EQP Sunroof,"$67,800.00","$10,850 /yr",27-Oct-2016,"70,000 km",Hatchback
11758,Suzuki Swift Sport 1.6M (COE till 04/2023),"$17,988.00","$8,780 /yr",09-May-2008,"191,889 km",Hatchback
11760,Toyota Dyna 150 3.0M,"$85,800.00","$9,070 /yr",25-Sep-2020,"20,000 km",Truck
11765,Kia Cerato K3 1.6A,"$61,500.00","$8,130 /yr",26-Jan-2018,"37,000 km",Sedan
11767,Maserati GranTurismo 4.2A (COE till 03/2028),"$123,000.00","$17,640 /yr",16-Apr-2008,"80,000 km",Sports
11773,Mercedes-Benz CLA-Class CLA250 AMG Line,"$184,500.00","$16,190 /yr",27-Nov-2020,"5,400 km",Luxury
11776,BMW 6 Series 640i Coupe Sunroof (New 10-yr COE),"$118,000.00","$11,790 /yr",29-Sep-2011,"119,500 km",Sports
11777,Honda Fit 1.3A G Skyroof (COE till 09/2023),"$22,800.00","$9,520 /yr",04-Sep-2008,"170,000 km",Hatchback
11783,Land Rover Range Rover Evoque 2.0A 5DR,"$141,800.00","$17,370 /yr",21-Sep-2017,"40,000 km",SUV
11785,Mercedes-Benz C-Class C180 AMG Line,"$103,800.00","$16,700 /yr",29-Mar-2016,"86,000 km",Luxury
11786,BMW 5 Series 535i Sunroof (COE till 01/2031),"$96,000.00","$9,780 /yr",24-Feb-2011,"121,000 km",Luxury
11793,Mercedes-Benz C-Class C63 S AMG,"$245,800.00","$37,000 /yr",02-Nov-2015,"40,000 km",Sports
11801,Mercedes-Benz E-Class E300 NGT AMG Line Premium Plus,"$290,988.00",,N.A.,50 km,Sports
11802,Toyota Harrier 2.0A Elegance,"$93,800.00","$13,520 /yr",28-Mar-2017,"36,908 km",SUV
11805,Honda Odyssey 2.4A Sunroof,"$26,900.00","$18,700 /yr",21-Oct-2011,"99,900 km",MPV
11807,Subaru Levorg 1.6A GT-S,"$86,888.00","$15,050 /yr",29-Feb-2016,"46,000 km",Stationwagon
11812,Isuzu LT434P,"$155,000.00","$28,390 /yr",27-Sep-2016,"260,000 km",Bus
11816,Isuzu LT434P,"$155,000.00","$33,280 /yr",08-Dec-2015,"295,000 km",Bus
11820,Honda Vezel 1.5A X Honda Sensing,"$84,800.00","$9,400 /yr",21-Jun-2019,"29,000 km",SUV
11827,Toyota Wish 1.8A X (COE till 09/2025),"$45,800.00","$10,240 /yr",12-Oct-2010,"113,000 km",MPV
11829,Mercedes-Benz CLA-Class CLA180 AMG Line,"$120,888.00","$14,620 /yr",14-May-2018,"60,000 km",Luxury
